Borough CD,Year,Average AQI
407,2010,15.42
407,2011,16.0
407,2012,14.35
407,2013,13.55
407,2014,14.07
407,2015,13.78
407,2016,12.72
407,2017,12.9
407,2018,12.25
407,2019,11.47
407,2020,10.92
407,2021,11.1
407,2022,10.55
408,2009,16.07
408,2010,15.19
408,2011,15.57
408,2012,13.92
408,2013,13.43
408,2014,13.61
408,2015,13.28
408,2016,12.29
408,2017,12.38
408,2018,11.92
408,2019,10.72
408,2020,10.06
408,2021,10.62
408,2022,10.19
409,2009,17.2
409,2010,16.15
409,2011,16.5
409,2012,14.8
409,2013,14.5
409,2014,14.4
409,2015,13.9
409,2016,13.0
409,2017,13.0
409,2018,12.5
409,2019,11.25
409,2020,10.8
409,2021,11.15
409,2022,10.45
410,2009,16.0
410,2010,15.0
410,2011,15.35
410,2012,13.7
410,2013,13.5
410,2014,13.4
410,2015,13.05
410,2016,12.05
410,2017,12.1
410,2018,11.5
410,2019,10.3
410,2020,10.05
410,2021,10.4
410,2022,9.55
411,2009,15.15
411,2010,14.35
411,2011,14.83
411,2012,13.25
411,2013,12.5
411,2014,13.07
411,2015,12.92
411,2016,11.83
411,2017,11.95
411,2018,11.3
411,2019,10.33
411,2020,9.73
411,2021,10.22
411,2022,10.2
412,2009,16.13
412,2010,15.25
412,2011,15.57
412,2012,13.95
412,2013,13.67
412,2014,13.67
412,2015,13.32
412,2016,12.3
412,2017,12.42
412,2018,12.17
412,2019,10.88
412,2020,10.1
412,2021,10.8
412,2022,10.22
413,2009,14.65
413,2010,13.9
413,2011,14.25
413,2012,12.65
413,2013,12.35
413,2014,12.65
413,2015,12.55
413,2016,11.35
413,2017,11.6
413,2018,11.3
413,2019,10.25
413,2020,9.4
413,2021,10.25
413,2022,9.75
414,2009,11.73
414,2010,11.03
414,2011,11.33
414,2012,10.23
414,2013,10.12
414,2014,10.73
414,2015,10.37
414,2016,8.83
414,2017,9.48
414,2018,8.28
414,2019,7.78
414,2020,7.93
414,2021,8.63
414,2022,8.2
484,2009,11.7
484,2010,11.0
484,2011,11.3
484,2012,10.2
484,2013,10.05
484,2014,10.7
484,2015,10.3
484,2016,8.8
484,2017,9.45
484,2018,8.25
484,2019,7.75
484,2020,7.9
484,2021,8.6
484,2022,8.2
501,2009,14.94
501,2010,13.75
501,2011,14.68
501,2012,12.93
501,2013,12.51
501,2014,12.56
501,2015,12.24
501,2016,11.66
501,2017,11.42
501,2018,11.08
501,2019,10.34
501,2020,9.6
501,2021,10.66
501,2022,9.36
502,2009,13.05
502,2010,11.8
502,2011,12.57
502,2012,11.25
502,2013,10.68
502,2014,11.1
502,2015,10.47
502,2016,9.93
502,2017,9.9
502,2018,9.47
502,2019,8.63
502,2020,8.4
502,2021,9.33
502,2022,8.1
503,2009,12.37
503,2010,11.08
503,2011,11.63
503,2012,10.57
503,2013,9.87
503,2014,10.53
503,2015,9.78
503,2016,9.23
503,2017,9.3
503,2018,8.82
503,2019,8.15
503,2020,8.02
503,2021,8.75
503,2022,7.38
