Borough CD,Year,Average AQI
402,2014,19.3
402,2015,19.7
402,2016,19.67
402,2017,18.7
402,2018,18.7
402,2019,18.8
402,2020,17.7
402,2021,18.17
402,2022,18.07
403,2009,19.2
403,2010,21.63
403,2011,21.47
403,2012,20.8
403,2013,19.5
403,2014,18.53
403,2015,18.97
403,2016,18.8
403,2017,17.93
403,2018,17.7
403,2019,17.53
403,2020,16.87
403,2021,17.2
403,2022,17.5
404,2009,19.57
404,2010,22.03
404,2011,21.87
404,2012,21.2
404,2013,20.03
404,2014,18.93
404,2015,19.3
404,2016,19.17
404,2017,18.33
404,2018,17.97
404,2019,17.9
404,2020,16.83
404,2021,17.3
404,2022,17.7
405,2009,18.77
405,2010,21.24
405,2011,21.03
405,2012,20.29
405,2013,19.33
405,2014,18.2
405,2015,18.56
405,2016,18.48
405,2017,17.67
405,2018,17.37
405,2019,17.44
405,2020,15.99
405,2021,16.88
405,2022,17.17
406,2009,18.73
406,2010,21.21
406,2011,21.01
406,2012,20.3
406,2013,19.37
406,2014,18.18
406,2015,18.5
406,2016,18.41
406,2017,17.61
406,2018,17.27
406,2019,17.3
406,2020,15.84
406,2021,16.62
406,2022,17.1
407,2009,18.59
407,2010,21.13
407,2011,20.86
407,2012,20.36
407,2013,19.04
407,2014,18.26
407,2015,18.57
407,2016,18.46
407,2017,17.71
407,2018,17.56
407,2019,17.57
407,2020,16.58
407,2021,16.91
407,2022,17.38
408,2009,18.15
408,2010,20.78
408,2011,20.37
408,2012,19.88
408,2013,19.0
408,2014,17.93
408,2015,18.07
408,2016,18.09
408,2017,17.53
408,2018,17.21
408,2019,17.45
408,2020,15.33
408,2021,16.35
408,2022,16.99
409,2009,18.6
409,2010,21.2
409,2011,20.9
409,2012,20.27
409,2013,19.5
409,2014,18.23
409,2015,18.47
409,2016,18.4
409,2017,17.77
409,2018,17.37
409,2019,17.57
409,2020,15.53
409,2021,16.67
409,2022,17.17
410,2009,18.3
410,2010,20.93
410,2011,20.63
410,2012,20.0
410,2013,19.27
410,2014,17.97
410,2015,18.23
410,2016,18.13
410,2017,17.6
410,2018,17.2
410,2019,17.47
410,2020,15.13
410,2021,16.47
410,2022,16.9
411,2009,17.79
411,2010,20.4
411,2011,19.94
411,2012,19.54
411,2013,18.4
411,2014,17.71
411,2015,17.81
411,2016,17.81
411,2017,17.26
411,2018,16.97
411,2019,17.21
411,2020,15.38
411,2021,16.09
411,2022,16.89
412,2009,18.27
412,2010,20.97
412,2011,20.5
412,2012,20.02
412,2013,19.3
412,2014,18.1
412,2015,18.17
412,2016,18.22
412,2017,17.77
412,2018,17.51
412,2019,17.86
412,2020,15.2
412,2021,16.6
412,2022,17.07
413,2009,17.8
413,2010,20.5
413,2011,19.9
413,2012,19.57
413,2013,18.73
413,2014,17.8
413,2015,17.77
413,2016,17.83
413,2017,17.57
413,2018,17.37
413,2019,17.87
413,2020,15.0
413,2021,16.37
413,2022,16.87
414,2009,17.26
414,2010,19.93
414,2011,19.83
414,2012,19.32
414,2013,18.09
414,2014,17.02
414,2015,17.57
414,2016,17.1
414,2017,16.9
414,2018,16.57
414,2019,17.23
414,2020,14.6
414,2021,15.64
414,2022,16.67
484,2009,17.23
484,2010,19.93
484,2011,19.83
484,2012,19.3
484,2013,18.07
484,2014,17.0
484,2015,17.57
484,2016,17.1
484,2017,16.9
484,2018,16.57
484,2019,17.23
484,2020,14.6
484,2021,15.67
484,2022,16.67
501,2009,17.55
501,2010,20.17
501,2011,19.56
501,2012,18.63
501,2013,17.44
501,2014,16.88
501,2015,17.19
501,2016,18.05
501,2017,16.03
501,2018,15.88
501,2019,16.23
501,2020,14.42
501,2021,15.92
501,2022,16.52
502,2009,16.69
502,2010,19.48
502,2011,18.87
502,2012,18.04
502,2013,16.79
502,2014,16.09
502,2015,16.61
502,2016,17.3
502,2017,15.27
502,2018,15.11
502,2019,15.38
502,2020,14.21
502,2021,14.92
502,2022,16.29
503,2009,16.38
503,2010,19.17
503,2011,18.52
503,2012,17.79
503,2013,16.53
503,2014,15.73
503,2015,16.43
503,2016,16.89
503,2017,14.96
503,2018,14.74
503,2019,15.11
503,2020,14.43
503,2021,14.47
503,2022,16.18
