Borough CD,Year,Average AQI
309,2012,17.6
309,2013,18.7
309,2014,20.55
309,2015,17.65
309,2016,16.65
309,2017,16.85
309,2018,17.15
309,2019,14.9
309,2020,17.55
309,2021,14.9
309,2022,14.05
310,2009,19.82
310,2010,18.13
310,2011,20.48
310,2012,15.43
310,2013,17.25
310,2014,19.3
310,2015,16.78
310,2016,15.35
310,2017,15.63
310,2018,15.58
310,2019,13.83
310,2020,15.83
310,2021,14.53
310,2022,13.55
311,2009,19.6
311,2010,18.13
311,2011,20.28
311,2012,15.25
311,2013,17.17
311,2014,19.3
311,2015,16.78
311,2016,15.25
311,2017,15.73
311,2018,15.43
311,2019,13.73
311,2020,15.73
311,2021,14.57
311,2022,13.42
312,2009,21.15
312,2010,19.1
312,2011,21.3
312,2012,16.35
312,2013,17.9
312,2014,19.9
312,2015,17.25
312,2016,15.95
312,2017,16.3
312,2018,16.3
312,2019,14.35
312,2020,16.55
312,2021,14.85
312,2022,13.9
313,2009,17.0
313,2010,16.5
313,2011,17.95
313,2012,13.05
313,2013,15.5
313,2014,17.95
313,2015,15.55
313,2016,13.6
313,2017,14.75
313,2018,13.4
313,2019,12.2
313,2020,13.95
313,2021,13.8
313,2022,12.7
314,2009,21.8
314,2010,19.2
314,2011,21.55
314,2012,16.7
314,2013,18.05
314,2014,20.0
314,2015,17.25
314,2016,16.1
314,2017,16.5
314,2018,16.35
314,2019,14.3
314,2020,16.8
314,2021,14.7
314,2022,13.8
315,2009,18.07
315,2010,17.27
315,2011,18.72
315,2012,13.82
315,2013,16.23
315,2014,18.5
315,2015,16.1
315,2016,14.22
315,2017,15.4
315,2018,13.78
315,2019,12.63
315,2020,14.62
315,2021,14.15
315,2022,12.8
316,2009,22.6
316,2010,19.25
316,2011,22.05
316,2012,17.3
316,2013,18.4
316,2014,20.35
316,2015,17.55
316,2016,16.45
316,2017,16.9
316,2018,17.15
316,2019,15.0
316,2020,17.2
316,2021,14.8
316,2022,14.25
317,2009,21.85
317,2010,19.2
317,2011,21.58
317,2012,16.75
317,2013,18.1
317,2014,20.03
317,2015,17.3
317,2016,16.13
317,2017,16.53
317,2018,16.43
317,2019,14.35
317,2020,16.82
317,2021,14.73
317,2022,13.85
318,2009,18.98
318,2010,17.05
318,2011,19.0
318,2012,14.3
318,2013,16.22
318,2014,18.23
318,2015,15.77
318,2016,14.25
318,2017,15.2
318,2018,14.2
318,2019,12.68
318,2020,14.87
318,2021,13.88
318,2022,12.78
401,2009,22.23
401,2010,18.32
401,2011,22.35
401,2012,17.82
401,2013,18.93
401,2014,20.97
401,2015,18.05
401,2016,16.87
401,2017,17.72
401,2018,17.87
401,2019,16.73
401,2020,17.63
401,2021,14.9
401,2022,14.85
402,2009,22.75
402,2010,18.75
402,2011,22.8
402,2012,18.25
402,2013,19.25
402,2014,21.5
402,2015,18.6
402,2016,17.5
402,2017,17.95
402,2018,18.7
402,2019,17.65
402,2020,18.25
402,2021,16.0
402,2022,15.7
403,2009,21.75
403,2010,18.3
403,2011,22.1
403,2012,17.3
403,2013,17.85
403,2014,20.5
403,2015,17.55
403,2016,16.25
403,2017,17.4
403,2018,17.0
403,2019,15.3
403,2020,16.9
403,2021,14.1
403,2022,14.1
404,2009,22.8
404,2010,19.3
404,2011,22.9
404,2012,18.05
404,2013,18.6
404,2014,21.2
404,2015,18.2
404,2016,16.9
404,2017,17.9
404,2018,17.65
404,2019,15.75
404,2020,17.55
404,2021,14.55
404,2022,14.55
405,2009,21.63
405,2010,18.05
405,2011,21.55
405,2012,16.82
405,2013,17.48
405,2014,19.83
405,2015,17.0
405,2016,15.87
405,2017,16.55
405,2018,16.8
405,2019,14.83
405,2020,16.63
405,2021,14.37
405,2022,13.98
406,2009,21.75
406,2010,18.25
406,2011,21.65
406,2012,16.88
406,2013,17.48
406,2014,19.9
406,2015,17.02
406,2016,15.82
406,2017,16.63
406,2018,16.7
406,2019,14.58
406,2020,16.47
406,2021,14.02
406,2022,13.77
407,2009,20.22
407,2010,17.18
407,2011,20.8
407,2012,16.02
407,2013,16.0
407,2014,19.23
407,2015,16.62
407,2016,15.18
407,2017,16.73
407,2018,16.18
407,2019,14.27
407,2020,15.38
407,2021,13.3
407,2022,13.92
408,2009,20.3
408,2010,17.29
408,2011,20.27
408,2012,15.75
408,2013,15.99
408,2014,18.85
408,2015,16.2
408,2016,14.88
408,2017,16.26
408,2018,15.69
408,2019,13.34
408,2020,14.82
408,2021,13.36
408,2022,13.19
409,2009,21.7
409,2010,18.45
409,2011,21.35
409,2012,16.7
409,2013,17.5
409,2014,19.75
409,2015,16.95
409,2016,15.7
409,2017,16.7
409,2018,16.6
409,2019,14.3
409,2020,16.2
409,2021,14.15
409,2022,13.6
410,2009,20.6
410,2010,17.55
410,2011,20.1
410,2012,15.6
410,2013,16.85
410,2014,18.8
410,2015,16.2
410,2016,14.9
410,2017,16.05
410,2018,15.3
410,2019,13.2
410,2020,15.3
410,2021,13.75
410,2022,12.5
411,2009,19.07
411,2010,16.22
411,2011,19.45
411,2012,14.92
411,2013,14.67
411,2014,18.2
411,2015,15.73
411,2016,14.33
411,2017,15.98
411,2018,14.97
411,2019,12.75
411,2020,14.02
411,2021,12.65
411,2022,13.27
412,2009,20.55
412,2010,17.57
412,2011,20.13
412,2012,15.82
412,2013,16.42
412,2014,18.92
412,2015,16.28
412,2016,14.97
412,2017,16.4
412,2018,15.77
412,2019,13.4
412,2020,14.88
412,2021,13.78
412,2022,13.12
413,2009,18.8
413,2010,16.15
413,2011,18.55
413,2012,14.4
413,2013,14.9
413,2014,17.85
413,2015,15.45
413,2016,14.0
413,2017,15.85
413,2018,14.55
413,2019,12.35
413,2020,13.65
413,2021,13.15
413,2022,12.5
414,2009,15.58
414,2010,14.52
414,2011,15.33
414,2012,11.28
414,2013,14.03
414,2014,16.28
414,2015,14.03
414,2016,11.93
414,2017,14.17
414,2018,10.68
414,2019,10.13
414,2020,11.83
414,2021,12.65
414,2022,10.85
484,2009,15.55
484,2010,14.45
484,2011,15.3
484,2012,11.25
484,2013,14.0
484,2014,16.25
484,2015,14.0
484,2016,11.9
484,2017,14.1
484,2018,10.65
484,2019,10.1
484,2020,11.8
484,2021,12.65
484,2022,10.85
501,2009,18.48
501,2010,15.75
501,2011,19.23
501,2012,14.51
501,2013,16.09
501,2014,17.88
501,2015,15.38
501,2016,14.09
501,2017,14.0
501,2018,14.69
501,2019,12.83
501,2020,14.3
501,2021,13.51
501,2022,12.49
502,2009,16.47
502,2010,13.83
502,2011,17.15
502,2012,12.93
502,2013,14.2
502,2014,16.6
502,2015,13.87
502,2016,12.52
502,2017,12.68
502,2018,13.15
502,2019,11.07
502,2020,12.02
502,2021,12.45
502,2022,11.07
503,2009,15.7
503,2010,13.12
503,2011,16.23
503,2012,12.43
503,2013,13.4
503,2014,16.22
503,2015,13.32
503,2016,12.03
503,2017,12.3
503,2018,12.57
503,2019,10.5
503,2020,10.92
503,2021,12.07
503,2022,10.35
